,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category,has_reviews
0,within a few hours,100%,50%,f,1.0,1.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,900.0,7,14.0,5.0,5.0,14.0,14.0,5.0,14.0,t,6.0,7.0,17.0,18.0,27.0,0.0,0.0,18,1.0,0.0,0.0,4.85,4.67,4.67,4.89,5.0,4.83,4.72,f,1.0,1.0,0.0,0.0,1.06,Copenhagen,Entire Standard,Entire,Standard,1
2,within an hour,100%,100%,t,3.0,4.0,t,Vesterbro-Kongens Enghave,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,3.0,2282.0,3,5.0,3.0,3.0,5.0,5.0,3.0,5.0,t,0.0,4.0,4.0,4.0,85.0,3.0,1.0,4,3.0,18.0,41076.0,4.91,4.96,4.93,4.88,4.91,4.89,4.71,f,2.0,1.0,1.0,0.0,1.06,Copenhagen,Entire Standard,Entire,Standard,1
4,within an hour,100%,100%,t,1.0,4.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,2.0,2223.0,5,70.0,1.0,6.0,1125.0,1125.0,4.9,1125.0,t,4.0,8.0,8.0,8.0,37.0,13.0,3.0,8,10.0,130.0,288990.0,4.91,4.81,4.87,4.84,5.0,4.94,4.87,f,1.0,1.0,0.0,0.0,0.96,Copenhagen,Entire Standard,Entire,Standard,1
5,within an hour,100%,63%,f,1.0,1.0,t,Amager Vest,Entire Standard,Entire home/apt,4.0,2.0,2 baths,2.0,2.0,1760.0,2,30.0,2.0,6.0,30.0,30.0,2.1,30.0,t,3.0,9.0,10.0,226.0,117.0,20.0,2.0,47,20.0,120.0,211200.0,4.85,4.83,4.98,4.9,4.94,4.75,4.66,f,1.0,1.0,0.0,0.0,1.54,Copenhagen,Entire Standard,Entire,Standard,1
6,within an hour,100%,88%,t,1.0,1.0,t,Nørrebro,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,470.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,5.0,6.0,6.0,15.0,126.0,10.0,0.0,15,13.0,60.0,28200.0,4.78,4.71,4.65,4.83,4.79,4.58,4.6,f,1.0,0.0,1.0,0.0,3.56,Copenhagen,Hotel,Hotel,Hotel,1
10,within a few hours,100%,78%,f,2.0,2.0,t,Frederiksberg,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,3.0,2015.0,6,40.0,6.0,6.0,40.0,40.0,6.0,40.0,t,8.0,12.0,23.0,113.0,43.0,6.0,0.0,113,6.0,72.0,145080.0,4.83,4.76,4.62,4.86,4.86,4.83,4.69,f,1.0,1.0,0.0,0.0,1.5,Copenhagen,Entire Standard,Entire,Standard,1
11,within an hour,100%,100%,f,1.0,1.0,t,Indre By,Entire Standard,Entire home/apt,7.0,2.0,2 baths,4.0,4.0,2531.0,3,25.0,2.0,2.0,25.0,25.0,2.0,25.0,t,4.0,5.0,6.0,47.0,58.0,6.0,0.0,6,6.0,36.0,91116.0,4.74,4.74,4.83,4.76,4.91,4.95,4.62,t,1.0,1.0,0.0,0.0,0.87,Copenhagen,Entire Standard,Entire,Standard,1
12,within a day,50%,53%,f,3.0,3.0,t,Østerbro,Hotel,Private room,2.0,1.0,1 bath,1.0,2.0,1596.0,1,30.0,1.0,1.0,30.0,30.0,1.0,30.0,t,30.0,60.0,90.0,365.0,22.0,0.0,0.0,187,0.0,0.0,0.0,4.8,4.85,4.85,4.9,4.9,4.7,4.6,f,2.0,0.0,2.0,0.0,3.57,Copenhagen,Hotel,Hotel,Hotel,1
14,within an hour,100%,88%,t,1.0,2.0,t,Indre By,Entire Standard,Entire home/apt,6.0,1.0,1 bath,3.0,3.0,2900.0,2,30.0,2.0,5.0,30.0,30.0,2.2,30.0,t,5.0,6.0,6.0,48.0,120.0,7.0,2.0,16,9.0,42.0,121800.0,4.9,4.9,4.74,4.89,4.89,4.96,4.75,f,1.0,1.0,0.0,0.0,1.47,Copenhagen,Entire Standard,Entire,Standard,1
15,within a few hours,71%,14%,t,1.0,1.0,t,Frederiksberg,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,933.0,4,90.0,4.0,4.0,90.0,90.0,4.0,90.0,t,6.0,8.0,30.0,305.0,16.0,2.0,0.0,124,3.0,16.0,14928.0,4.94,5.0,4.75,5.0,5.0,5.0,4.75,f,1.0,1.0,0.0,0.0,2.5,Copenhagen,Entire Standard,Entire,Standard,1
