,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price_local,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,distance_to_center_km,city,property_type_grouped,property_privacy_level,property_category
22684,within an hour,100%,100%,f,2.0,2.0,t,Frogner,59.91201,10.72455,Entire Standard,Entire home/apt,3.0,1.0,1 bath,2.0,3.0,2166.0,4,1000.0,4.0,4.0,1000.0,1000.0,4.0,1000.0,t,2.0,2.0,2.0,2.0,55.0,1.0,0.0,2,3.0,8.0,17328.0,4.91,4.96,4.98,4.92,4.96,4.96,4.86,f,2.0,2.0,0.0,0.0,1.56,Oslo,Entire Standard,Entire,Standard
22685,within an hour,100%,63%,t,1.0,1.0,t,Gamle Oslo,59.90795,10.77987,Hotel,Private room,2.0,1.0,1 bath,1.0,2.0,467.0,14,730.0,14.0,14.0,730.0,730.0,14.0,730.0,t,0.0,1.0,1.0,257.0,59.0,3.0,1.0,1,3.0,84.0,39228.0,4.76,4.7,4.8,4.98,4.94,4.72,4.81,f,1.0,0.0,1.0,0.0,1.68,Oslo,Hotel,Hotel,Hotel
22686,within an hour,100%,97%,t,2.0,3.0,t,Gamle Oslo,59.91074,10.77232,Entire Standard,Entire home/apt,4.0,1.0,1 bath,2.0,3.0,1800.0,2,21.0,2.0,6.0,1125.0,1125.0,2.2,1125.0,t,1.0,18.0,28.0,28.0,82.0,1.0,0.0,28,4.0,6.0,10800.0,4.77,4.78,4.59,4.74,4.84,4.48,4.7,f,1.0,1.0,0.0,0.0,1.18,Oslo,Entire Standard,Entire,Standard
22687,within a day,75%,30%,f,2.0,2.0,t,St. Hanshaugen,59.92398,10.74787,Hotel,Private room,2.0,1.0,1 shared bath,1.0,1.0,946.0,4,365.0,4.0,4.0,365.0,365.0,4.0,365.0,t,30.0,60.0,90.0,365.0,46.0,2.0,0.0,94,1.0,16.0,15136.0,4.91,4.85,5.0,4.98,4.95,4.89,4.84,f,2.0,0.0,2.0,0.0,1.15,Oslo,Hotel,Hotel,Hotel
22690,within a few hours,100%,86%,t,2.0,4.0,t,Nordstrand,59.84704,10.7778,Entire Standard,Entire home/apt,6.0,1.0,1 bath,2.0,3.0,752.0,1,365.0,1.0,1.0,365.0,365.0,1.0,365.0,t,14.0,38.0,68.0,325.0,459.0,57.0,5.0,72,49.0,255.0,191760.0,4.96,4.96,4.98,4.96,4.98,4.88,4.9,f,2.0,2.0,0.0,0.0,7.57,Oslo,Entire Standard,Entire,Standard
22693,within an hour,100%,97%,t,4.0,4.0,t,Grünerløkka,59.92085,10.74995,Hotel,Private room,1.0,1.5,1.5 shared baths,1.0,1.0,543.0,5,365.0,5.0,5.0,365.0,365.0,5.0,365.0,t,0.0,28.0,58.0,333.0,130.0,4.0,0.0,62,4.0,40.0,21720.0,4.79,4.73,4.74,4.88,4.91,4.85,4.76,f,2.0,0.0,2.0,0.0,0.78,Oslo,Hotel,Hotel,Hotel
22697,within an hour,100%,100%,t,1.0,1.0,t,Grünerløkka,59.92428,10.75828,Entire Standard,Entire home/apt,5.0,1.0,1 bath,3.0,5.0,1560.0,3,30.0,2.0,3.0,30.0,30.0,3.0,30.0,t,0.0,2.0,5.0,10.0,60.0,19.0,2.0,7,14.0,114.0,177840.0,4.81,4.83,4.55,4.87,4.97,4.93,4.63,f,1.0,1.0,0.0,0.0,1.2,Oslo,Entire Standard,Entire,Standard
22698,within a few hours,100%,50%,f,1.0,1.0,t,Nordre Aker,59.96531,10.77889,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,740.0,30,200.0,30.0,30.0,200.0,200.0,30.0,200.0,t,2.0,29.0,59.0,334.0,9.0,1.0,0.0,63,1.0,60.0,44400.0,4.67,4.67,4.33,5.0,5.0,4.56,4.56,f,1.0,1.0,0.0,0.0,5.91,Oslo,Entire Standard,Entire,Standard
22699,within a few hours,100%,0%,f,1.0,1.0,t,Grünerløkka,59.92132,10.75942,Entire Luxury,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1496.0,3,1125.0,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,27.0,57.0,87.0,362.0,26.0,0.0,0.0,91,2.0,0.0,0.0,4.88,4.92,4.62,5.0,5.0,4.96,4.85,f,1.0,1.0,0.0,0.0,0.92,Oslo,Entire Luxury,Entire,Luxury
22701,within an hour,100%,100%,f,1.0,1.0,t,Sentrum,59.9112,10.74484,Hotel,Private room,2.0,1.0,1 private bath,1.0,1.0,835.0,1,1125.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0.0,0.0,0.0,42.0,18.0,1.0,0.0,0,12.0,6.0,5010.0,4.94,4.94,4.94,4.94,4.89,4.83,4.83,f,1.0,0.0,1.0,0.0,0.51,Oslo,Hotel,Hotel,Hotel
22702,within an hour,100%,100%,t,1.0,4.0,t,Gamle Oslo,59.912159,10.760248,Hotel,Private room,2.0,1.0,1 shared bath,1.0,2.0,1172.0,1,3.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,22.0,51.0,81.0,356.0,1045.0,101.0,11.0,85,114.0,255.0,298860.0,4.71,4.77,4.7,4.85,4.87,4.74,4.73,t,1.0,0.0,1.0,0.0,0.49,Oslo,Hotel,Hotel,Hotel
22704,within an hour,100%,98%,t,3.0,7.0,t,Gamle Oslo,59.91318,10.76433,Entire Standard,Entire home/apt,9.0,1.0,1 bath,4.0,7.0,2534.0,1,365.0,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,22.0,52.0,78.0,348.0,141.0,25.0,3.0,82,8.0,150.0,380100.0,4.65,4.73,4.49,4.79,4.84,4.72,4.56,t,2.0,2.0,0.0,0.0,0.68,Oslo,Entire Standard,Entire,Standard
22706,within an hour,100%,89%,f,1.0,1.0,f,St. Hanshaugen,59.92017,10.74694,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,1800.0,2,1125.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,28.0,58.0,88.0,363.0,25.0,6.0,1.0,92,4.0,36.0,64800.0,4.96,4.96,5.0,4.96,4.96,4.92,4.96,f,1.0,1.0,0.0,0.0,0.76,Oslo,Entire Standard,Entire,Standard
22707,within a few hours,89%,54%,f,5.0,9.0,t,Frogner,59.92317,10.70663,Entire Standard,Entire home/apt,5.0,1.0,1 bath,2.0,5.0,2152.0,5,1125.0,14.0,14.0,1125.0,1125.0,14.0,1125.0,t,29.0,59.0,89.0,179.0,6.0,2.0,1.0,93,0.0,20.0,43040.0,5.0,4.83,5.0,5.0,4.83,5.0,4.67,f,2.0,2.0,0.0,0.0,2.74,Oslo,Entire Standard,Entire,Standard
22708,within an hour,100%,100%,f,1.0,2.0,t,St. Hanshaugen,59.92471,10.7375,Entire Standard,Entire home/apt,3.0,1.0,1 bath,1.0,2.0,666.0,31,1125.0,31.0,31.0,1125.0,1125.0,31.0,1125.0,t,16.0,16.0,16.0,102.0,98.0,6.0,2.0,16,6.0,255.0,169830.0,4.82,4.77,4.82,4.97,4.96,4.87,4.76,f,1.0,1.0,0.0,0.0,1.45,Oslo,Entire Standard,Entire,Standard
22709,within an hour,100%,96%,t,1.0,1.0,t,Frogner,59.90625,10.7187,Entire Standard,Entire home/apt,2.0,1.0,1 bath,1.0,1.0,2218.0,2,40.0,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,30.0,60.0,87.0,362.0,283.0,16.0,2.0,91,17.0,96.0,212928.0,4.88,4.9,4.89,4.83,4.86,4.96,4.81,f,1.0,1.0,0.0,0.0,2.05,Oslo,Entire Standard,Entire,Standard
